"model_name","mean.IC","min.IC","max.IC","mean.P","min.P","max.P","mean.Pa","min.Pa","max.Pa","mean.D","min.D","max.D","mean.IC.w_obs","min.IC.w_obs","max.IC.w_obs","mean.P.w_obs","min.P.w_obs","max.P.w_obs","mean.Pa.w_obs","min.Pa.w_obs","max.Pa.w_obs","mean.D.w_obs","min.D.w_obs","max.D.w_obs","mean.obs","min.obs","max.obs"
"RW","0.11","0","0.28","0.89","0.72","1",NA,NA,NA,NA,NA,NA,"0.07","0","0.18","0.58","0.45","0.69",NA,NA,NA,NA,NA,NA,"0.35","0.27","0.46"
"RW_obs","0.09","0","0.26","0.91","0.74","1",NA,NA,NA,NA,NA,NA,"0.07","0","0.2","0.63","0.52","0.73",NA,NA,NA,NA,NA,NA,"0.3","0.22","0.39"
"AR","0.02","0","0.06","0.92","0.85","0.98","0.06","-0.01","0.11",NA,NA,NA,"0.01","0","0.04","0.63","0.54","0.7","0.04","-0.01","0.08",NA,NA,NA,"0.32","0.25","0.39"
"wtrtemp_min","0.01","0","0.03","0.86","0.78","0.93","0.06","-0.04","0.12","0.06","-0.04","0.16","0.01","0","0.02","0.55","0.48","0.63","0.04","-0.02","0.08","0.04","-0.02","0.11","0.36","0.29","0.43"
"wtrtemp_min_lag","0.01","0","0.02","0.87","0.76","0.94","0.07","0.02","0.13","0.06","-0.03","0.14","0","0","0.01","0.59","0.53","0.64","0.05","0.01","0.09","0.04","-0.02","0.11","0.32","0.24","0.4"
"wtrtemp_MA7","0.01","0","0.02","0.87","0.81","0.95","0.07","-0.03","0.12","0.05","-0.05","0.13","0.01","0","0.01","0.57","0.52","0.66","0.05","-0.02","0.08","0.04","-0.03","0.08","0.34","0.27","0.41"
"schmidt_med_diff","0.02","0","0.06","0.9","0.81","0.98","0.06","-0.01","0.13","0.01","-0.05","0.06","0.01","0","0.04","0.62","0.54","0.71","0.04","0","0.09","0.01","-0.04","0.05","0.31","0.24","0.4"
"wnd_dir_2day_lag","0.02","0","0.04","0.87","0.82","0.96","0.05","-0.01","0.13","0.06","-0.02","0.14","0.01","0","0.03","0.58","0.52","0.65","0.04","-0.01","0.09","0.04","-0.01","0.11","0.33","0.25","0.41"
"GDD","0.01","0","0.03","0.88","0.8","0.93","0.1","0.04","0.15","0.01","-0.05","0.06","0.01","0","0.02","0.56","0.49","0.63","0.06","0.02","0.1","0.01","-0.03","0.04","0.36","0.29","0.44"
"schmidt_and_wnd","0.01","0","0.05","0.86","0.77","0.93","0.06","0.01","0.11","0.06","0.02","0.12","0.01","0","0.03","0.58","0.52","0.67","0.04","0.01","0.07","0.04","0.01","0.08","0.33","0.27","0.43"
"schmidt_diff_and_max","0.02","0","0.05","0.82","0.71","0.9","0.08","0.02","0.15","0.09","0.01","0.2","0.01","0","0.03","0.54","0.47","0.63","0.05","0.01","0.09","0.06","0.01","0.14","0.33","0.26","0.4"
"wnd_dir_and_speed","0.01","0","0.04","0.86","0.79","0.94","0.05","0.01","0.12","0.08","0.01","0.16","0.01","0","0.03","0.58","0.51","0.65","0.04","0.01","0.08","0.05","0.01","0.11","0.32","0.26","0.38"
"all_models","0.03","0","0.08","0.88","0.78","0.95","0.07","0","0.13","0.05","-0.02","0.13","0.02","0","0.05","0.58","0.51","0.67","0.04","0","0.08","0.04","-0.01","0.09","0.33","0.26","0.41"
